Славянский бульвар; 4883598; 4778530; 55.741469; 37.615561; 
Электрозаводская; 2932265; 3131098; null; null; 
Семёновская; 2582010; 2659805; 55.747448; 37.689612; 
Кунцевская; 1069272; 1083970; 55.726142; 37.446636; 
Молодёжная; 4010031; 3949471; null; null; 
Бауманская; 4633111; 4871060; 55.769291; 37.679149; 
Смоленская; 2196608; 2298545; 55.775648; 37.577862; 
Щёлковская; 6528620; 6168534; 55.921237; 38.012924; 
Фили; 1489315; 1487407; 55.747448; 37.689612; 
Международная; 592216; 614634; 55.747448; 37.689612; 
Филёвский парк; 773047; 755377; 55.741469; 37.615561; 
Арбатская; 504187; 489962; null; null; 
Пионерская; 525958; 506691; 55.736416; 37.466289; 
Смоленская; 752285; 777083; 55.775648; 37.577862; 
Студенческая; 541602; 556324; 55.747448; 37.689612; 
Кунцевская; 581829; 566595; 55.726142; 37.446636; 
Киевская; 0; 0; 55.742003; 37.562845; 
Кутузовская; 617215; 660396; 55.747448; 37.689612; 
Выставочная; 1344456; 1368929; 55.747448; 37.689612; 
Багратионовская; 1327874; 1331659; 55.747448; 37.689612; 
Александровский сад; 1484135; 1494307; null; null; 
Павелецкая; 3657889; 3806756; 55.729095; 37.641031; 
Новослободская; 2084099; 2225278; 55.747448; 37.689612; 
Курская; 2823163; 2581055; 55.745199; 37.689308; 
Краснопресненская; 1947126; 1977168; 55.747448; 37.689612; 
Белорусская; 4065395; 3862320; 55.774397; 37.573592; 
Парк культуры; 3166336; 3310927; null; null; 
Проспект Мира; 2233982; 2313669; 55.741469; 37.615561; 
Добрынинская; 1734972; 1810675; 55.741469; 37.615561; 
Киевская; 3123029; 3093274; 55.742003; 37.562845; 
Таганская; 2299836; 2390524; 55.747448; 37.689612; 
Комсомольская; 8542064; 7093586; null; null; 
Октябрьская; 2377527; 2481524; 55.778834; 37.653721; 
Медведково; 4480793; 4308482; 55.747448; 37.689612; 
Калужская; 2790699; 2898291; 55.747448; 37.689612; 
Шаболовская; 2224228; 2350843; 55.747448; 37.689612; 
ВДНХ; 6282100; 5993874; 55.831434; 37.622148; 
Новые Черёмушки; 3047381; 3104966; null; null; 
Ботанический сад; 1454093; 1671223; null; null; 
Профсоюзная; 2668411; 2734236; 55.747448; 37.689612; 
Октябрьская; 1082879; 1137907; 55.778834; 37.653721; 
Алексеевская; 2799064; 2871672; 55.747448; 37.689612; 
Китай-город; 5146888; 5344406; null; null; 
Третьяковская; 0; 0; 55.747448; 37.689612; 
Академическая; 2873329; 2893919; 55.686965; 37.574803; 
Тургеневская; 1587101; 1686922; 55.747448; 37.689612; 
Беляево; 3141714; 3188447; 55.643388; 37.522954; 
Свиблово; 2053663; 2055641; 55.747448; 37.689612; 
Ясенево; 2549885; 2503628; 55.606414; 37.533699; 
Тёплый стан; 5345989; 5232646; 55.617548; 37.507761; 
Рижская; 560639; 570695; 55.795249; 37.632936; 
Новоясеневская; 561313; 543383; 55.747448; 37.689612; 
Коньково; 2355615; 2340986; 55.747448; 37.689612; 
Бабушкинская; 4096024; 4060458; 55.747448; 37.689612; 
Проспект Мира; 1969544; 2041473; 55.741469; 37.615561; 
Сухаревская; 1740739; 1841053; 55.747448; 37.689612; 
Ленинский проспект; 3187441; 3683899; null; null; 
Пушкинская; 3771960; 3980669; 55.747448; 37.689612; 
Текстильщики; 4824701; 4777353; 55.709843; 37.731377; 
Беговая; 3484538; 3512973; 55.747448; 37.689612; 
Кузнецкий мост; 1933566; 2055979; null; null; 
Улица 1905 года; 3759315; 3933127; 55.741469; 37.615561; 
Лермонтовский проспект; 1732279; 1650390; null; null; 
Спартак; 439349; 432840; 55.747448; 37.689612; 
Котельники; 4568423; 4064697; 55.747448; 37.689612; 
